,item_id,item_id
696490723789804,14.0,
1097631460775571,59.0,1.0
1637165183538885,66.0,
3341342041473146,2.0,
4055398786868336,1.0,
4255654217639344,7.0,
6536469184064787,1.0,
7683654146703952,1.0,
9393908124420502,49.0,2.0
10102212873966760,39.0,4.0
11072115662022791,19.0,1.0
11575232304866102,53.0,2.0
12249482967749017,1.0,
13831602287370737,5.0,
13847980288352425,13.0,
15553563904368131,1.0,
16284947754376399,15.0,
17237758063064615,1.0,
17805442322617113,1.0,
18506393802199063,4.0,
18564233619461048,29.0,1.0
18802576669382029,9.0,
19438178474842228,18.0,
19560100342134985,13.0,1.0
21345778757081607,11.0,
22990172606991950,73.0,
23000114930470530,,1.0
24222185012217158,1.0,
24810209703656444,60.0,1.0
28270346777867139,2.0,
28575156070875994,1.0,
28890266558981536,240.0,6.0
30840356308769988,1.0,
30954724232577394,61.0,
31048424066379401,12.0,
31081394009177845,1.0,
31504766410207516,2.0,
32373614407243324,1.0,
33761665631572075,6.0,
33789903622142435,2.0,
33863647315162993,101.0,2.0
33983744321396205,4.0,
34115490055540179,1.0,
35974039100716541,1.0,
36128865930036962,86.0,1.0
36187676455488022,4.0,2.0
37935316566004832,3.0,
43489705811310323,10.0,
44464959515245158,18.0,5.0
44513362314949096,12.0,
44995943606603897,34.0,1.0
45085584403214606,1.0,
45739666976932640,6.0,
46335550574683368,18.0,
46913422739079690,2.0,
47232536977255645,1.0,
47930330199756422,1.0,
48000759877521379,8.0,2.0
48296089068923215,2.0,
48386898459168178,8.0,1.0
48920169847825796,11.0,
49074779565223144,1.0,
49114355680708769,3.0,
49373250331170217,571.0,16.0
49624218666886893,80.0,2.0
50379584680850789,50.0,1.0
50383040486697235,1.0,
50432964744352344,92.0,5.0
50653807939753940,2.0,
51600763759942867,129.0,3.0
53141466671068390,7.0,
53412481269652986,19.0,
53758941896169289,10.0,1.0
54819337830910368,4.0,1.0
58279349208282635,1.0,
60128048339807666,224.0,9.0
61914655744894283,1091.0,34.0
61982832909364119,12.0,1.0
62838296027366859,629.0,17.0
63071593558870203,3.0,
63625877143279197,371.0,13.0
67672442778151278,4.0,
67908765533075172,27.0,
68293607586287754,18.0,
71002967229781812,33.0,
71505253859779432,1.0,
72722265563110005,1.0,
72825662498406630,2.0,
73008954676854416,1.0,
74409214629986365,37.0,
74776687342955089,9.0,
77486408236885887,136.0,6.0
77753520832358029,19.0,4.0
78835998805444145,1.0,
81140535715844692,11.0,
82179554148759925,5.0,1.0
82240751079441221,26.0,
82808262578030459,3.0,
85210208033266053,1.0,
85791493116673035,1.0,
86163586190489549,10.0,
86868497586085590,89.0,1.0
88530996152045020,6.0,
89037925563587170,1.0,
90652556660047174,1.0,
91070532285486248,123.0,6.0
91298943091938404,1.0,
91447656648908805,6.0,
92125341185083707,9.0,1.0
93380979096233532,1.0,
94265272619694711,3.0,
95212122141350207,11.0,1.0
97394290886149718,3.0,
99072074675970602,3.0,
99132268575359203,27.0,
99767494672550389,1.0,
100826730457066984,1.0,
102639201462990818,20.0,2.0
103688965110222436,5.0,
103912095306262948,1.0,
103935436865046054,6.0,
104481659614326000,1.0,
105221713137654786,298.0,13.0
105908654369982550,,1.0
106990404853189566,93.0,4.0
107208337955406638,663.0,22.0
107416371975425984,1.0,
109981118038066361,4.0,
110507163552119150,28.0,1.0
112092658311533864,15.0,1.0
112368982413213027,84.0,6.0
113143477100688146,20.0,1.0
113373296672209255,13.0,
114567950472264968,5.0,
115135900738073951,3.0,
116051310177494658,62.0,1.0
118801813054393327,17.0,
119199399192360074,12.0,
119829410569297841,22.0,
120799100733409576,5.0,
120934931175391898,12.0,1.0
121599559092687857,39.0,4.0
123179820907901246,7.0,
124537517574802912,220.0,6.0
125046247158526445,27.0,2.0
125113365489442346,307.0,3.0
125788972533740786,14.0,
125862071049803478,81.0,5.0
127391373203002184,65.0,5.0
127472022517327528,1107.0,55.0
127548878734031964,2.0,
128307806053367335,1.0,
128341368581443970,845.0,34.0
129307404529476862,1.0,
129849536503174852,1.0,
129915000520529566,21.0,
130065098289182291,1.0,
131711899070081880,1.0,
132071782719659393,2.0,
133229572234619091,54.0,4.0
133272292956133715,2.0,
134024655140944880,4.0,
134137085983668211,3.0,
134164207255408467,43.0,1.0
134606825064982496,2.0,
135246717032945729,13.0,
135805015061341024,96.0,2.0
136657987448775649,23.0,
137731464441337600,1.0,
139547807961464814,2.0,
140335313501996810,31.0,2.0
140624314416773514,,1.0
141032223790624895,20.0,1.0
141251731143964971,19.0,
141522953843725452,4.0,
143279695443126742,5.0,1.0
146804511084070840,8.0,
147160232432152351,63.0,3.0
147864513672869154,93.0,6.0
148271217874564431,1.0,
148515419065775916,11.0,
150765024932209938,6.0,
152227926565852528,11.0,
152842029987830426,320.0,13.0
153334867242976913,12.0,1.0
155576309168162547,12.0,
157445198365858931,35.0,4.0
157848929004801129,1.0,
159048359479085584,2.0,
160432111097045198,2.0,
161534944239890559,27.0,
163961488102861333,20.0,
163968931621144821,1.0,
164355966578862042,32.0,
164529946896223780,2.0,
166705879753317615,8.0,1.0
167267306184688337,3.0,
168063169971226911,13.0,
168283945380317578,2.0,
168661978416475049,1.0,
169333768554070611,349.0,17.0
169443514314233431,360.0,8.0
169659572186973767,21.0,2.0
170336836390573275,138.0,7.0
170545491546327222,1.0,
171344879958542498,1.0,
171798774092724064,3.0,
172297038778363791,7.0,
172966558052232211,105.0,2.0
173969833395114307,22.0,
176397510635448377,1.0,
176482957544150325,56.0,2.0
176614150351189827,38.0,2.0
177265538241305548,153.0,4.0
177403768628968192,5.0,
179274093861705152,7.0,
179778293682496113,3.0,
181571694822429395,60.0,2.0
182590386965467550,72.0,3.0
182667982857596971,9.0,
183037967486067234,37.0,1.0
184668444702729931,126.0,10.0
184844931628859762,2.0,
185600179226710302,6.0,
186141070967287006,131.0,2.0
186956783761653505,71.0,1.0
187261706056252027,1.0,
187573845933759968,4.0,
187904130983512707,24.0,1.0
188438854483458857,13.0,2.0
190986154158927176,1.0,
192460346364265267,8.0,
195133845242764721,4.0,
195501916433616839,15.0,
195602920141131596,1.0,
196182730351614320,5.0,
196190059400491421,7.0,
196319307539566890,5.0,
197286619382650201,252.0,5.0
197530290443552323,3.0,
197870350404098296,3.0,
199430927512361879,10.0,1.0
199767639531993015,9.0,
200173284671541175,889.0,41.0
200610178439258796,12.0,1.0
201149203748398783,18.0,2.0
201311485007803905,29.0,5.0
203245845392511509,29.0,
203362598323016283,1.0,
206319887066177493,2.0,
207205700798227564,2.0,
207745213207275046,140.0,
208284093090221774,5.0,
210929370185746187,46.0,
211979286994978854,1.0,
212203248778766763,,1.0
212419273662498340,15.0,1.0
212493225862938671,39.0,5.0
212633384496054263,1.0,
215100589201008101,1.0,
217412191863845383,15.0,
217495882773173261,1.0,
217546963465002809,19.0,1.0
217845352583823797,9.0,
221501605691175771,1.0,1.0
221633956062319919,2.0,1.0
221960292527218972,1.0,
223133888358826014,126.0,7.0
223247052055056611,29.0,2.0
224334726106623082,27.0,
225041745483084981,2.0,
226745323160003208,17.0,1.0
228413286900109375,100.0,3.0
229648584006278770,3.0,
230177528882905255,2.0,
231091131969574158,1.0,
233366120990616227,10.0,1.0
234259411878115698,5.0,
235004881799448464,8.0,1.0
235984408029058076,170.0,5.0
236200933371699416,1.0,
237901004646341631,1.0,
238360901032117739,33.0,3.0
238575932101196531,44.0,
241025882774992658,13.0,
243039091088468448,42.0,
243205107520412160,97.0,1.0
243534977767543104,4.0,
245482790763337404,50.0,1.0
245850015302542462,1.0,
246546598233210664,66.0,3.0
247312898534842905,6.0,
247351271246180748,502.0,22.0
248781062108255048,81.0,4.0
249711070393133226,,1.0
249762159032313657,3.0,
249789789319992347,20.0,
249884738851759472,21.0,1.0
249895217762456788,92.0,1.0
250000071787149068,8.0,
252301810545735895,33.0,
254333719836877084,297.0,13.0
254559467620341420,15.0,2.0
255332067867133512,3.0,1.0
255899804752267137,1.0,
256102438389707542,202.0,10.0
256578403557399720,4.0,
257841720644685049,1.0,
257869135801227322,3.0,
258163452652323610,44.0,5.0
259325291574281014,10.0,1.0
260168368966052936,58.0,2.0
260541919005462796,2.0,
260861370151020943,42.0,
260899670020422114,2.0,
261433243754925645,2.0,
262193697828869870,497.0,29.0
263514505862432188,1.0,
263926865766947419,,1.0
264580233131756542,3.0,
265236275809938987,7.0,1.0
265827127165391911,1.0,
267844484951584817,1.0,
268330990887017272,1.0,
268968917004191272,12.0,2.0
269084075983343623,6.0,
269186909844108612,64.0,4.0
271110794913718309,2.0,1.0
273446173532243284,4.0,
275325134153101081,102.0,8.0
278294054797054275,2.0,
279469438674316683,14.0,
279795505153362439,7.0,
280128814777818124,11.0,
282205262520112125,32.0,2.0
282339322305168866,2.0,
282651254909942530,3.0,1.0
283456684178835887,7.0,1.0
283481905721151004,4.0,
285660928590172217,64.0,1.0
289203516352351963,45.0,6.0
289564042408453778,10.0,
291822140706049522,5.0,
292075542526756563,20.0,
292475173117663376,2.0,
294532120559977103,11.0,1.0
295015665378463152,17.0,2.0
297568500322464448,1.0,
299048439296537519,12.0,
299101823965111126,29.0,1.0
299293746215162172,1.0,
300104664849344839,30.0,
302085633042115659,2.0,
302904140024166237,6.0,
303239952090469577,27.0,1.0
303555204778460746,2.0,
304531335951450194,842.0,15.0
304851670417279146,25.0,2.0
304962257107453054,1.0,
306394549312710402,1.0,
306437449238723959,4.0,1.0
308236077384450442,8.0,
308384991690537247,320.0,7.0
309337064895556013,9.0,
311474373510234822,12.0,3.0
311651088137806482,155.0,8.0
312131564170063944,1.0,
312318489172745744,187.0,6.0
312678002447614913,454.0,11.0
313181415989859991,1.0,
313266355395954479,29.0,
314220813547898099,1.0,
314891180283270926,3.0,
315502763331835789,1.0,
316401447255832439,2.0,
318520037678735081,27.0,
319261402287333984,5.0,1.0
319522877368597916,20.0,
319632392972284192,194.0,7.0
319800654902186363,77.0,4.0
320280870323148625,120.0,5.0
323058909312935889,1.0,
323943994408908173,1.0,
323953437438040151,3.0,
324004671141140102,90.0,9.0
324053505294735948,1.0,
327193601557574798,34.0,
327370170104939059,22.0,5.0
327989923657675664,22.0,
329793274985303480,9.0,2.0
330804931228952236,1.0,
331076007017757143,16.0,
333123675911888966,61.0,2.0
333732031400393108,1.0,
333921141319228649,2.0,
334745647425291737,352.0,17.0
334812775852031346,2.0,
334946275271148946,2.0,
335118134150642032,2.0,
335946013672967931,8.0,
336264605117755563,2.0,
336630300530832656,7.0,1.0
337128728263775057,7.0,1.0
337270317140213562,4.0,
337779527027067479,84.0,8.0
338556320067048623,1.0,
338690877509819676,704.0,36.0
339138522004579878,25.0,
342935188235167115,1.0,
344387055317718510,9.0,
344782863057831209,250.0,13.0
345540811693445587,1.0,
345871312754013149,3.0,2.0
347579125526135828,70.0,4.0
347767868088948904,752.0,34.0
347935300881667641,21.0,2.0
348705726221113056,51.0,2.0
348992068142444601,202.0,5.0
350060066478301953,9.0,
350404967012519889,2.0,
350794060123463521,5.0,
351289184199634025,15.0,
352644489998741414,20.0,2.0
352922653083874668,456.0,23.0
352976743861461726,3.0,
355292260427403128,5.0,
357720748834330931,37.0,
357932508316649042,1.0,
358150769622194641,13.0,
359816958971103272,1.0,
361893902324284845,200.0,10.0
361949256394229797,3.0,
364661829895013757,1.0,
365202798058356244,1171.0,52.0
367457008684184401,2.0,
367849422134217202,11.0,1.0
367863471853936180,1.0,
368316522438547882,1.0,
369415706780486462,8.0,
369911207829685806,2.0,
370547851959662186,54.0,1.0
370565223119824488,1.0,
374113938059136164,1.0,
374858955586996974,1.0,
375088291392954341,102.0,5.0
375652075803904862,7.0,
375908558038901185,2.0,
376666360356344227,8.0,
379545858977092666,36.0,2.0
379848927776544534,313.0,7.0
381667165932716293,10.0,
382148433835957245,2.0,
382825459124919421,43.0,4.0
384815016527900482,9.0,
384994934367511715,2.0,
385079951052851573,4.0,
385385476432892882,23.0,2.0
385454195679680320,1.0,
386587468489348872,2.0,
