,shop_score_delivery,shop_score_delivery
-1.0,59.0,1.0
0.8300000000000001,1.0,
0.8400000000000001,2.0,
0.8618181818181818,2.0,
0.8666666666666667,1.0,
0.8678260869565217,3.0,
0.8720000000000001,10.0,
0.8784000000000001,6.0,
0.8826666666666667,1.0,
0.8861237785016287,1.0,
0.8864935064935064,1.0,
0.8866561014263075,1.0,
0.8869798657718122,1.0,
0.8905263157894738,7.0,
0.8909090909090909,2.0,
0.8915254237288135,2.0,
0.8933333333333333,5.0,
0.8942372881355933,4.0,
0.8959223300970873,2.0,
0.8964705882352941,2.0,1.0
0.8981818181818182,1.0,
0.8982524271844661,,2.0
0.8988235294117646,1.0,
0.8993170731707318,2.0,
0.8996078431372551,1.0,
0.9000000000000001,2.0,
0.9011764705882356,1.0,
0.9022222222222224,1.0,
0.9058823529411766,1.0,
0.9063703703703704,1.0,
0.9073684210526316,2.0,
0.908148148148148,3.0,
0.9085714285714286,,1.0
0.9089430894308944,4.0,
0.9091482649842272,2.0,
0.9095652173913044,3.0,
0.9096234309623431,1.0,
0.9098947368421052,,1.0
0.9114285714285716,1.0,
0.9133333333333332,4.0,
0.914074074074074,1.0,
0.9150476190476192,1.0,
0.9152718676122932,1.0,
0.9152941176470588,2.0,
0.9173063973063972,3.0,
0.9175757575757576,1.0,
0.9175885643256684,,8.0
0.9178298397040691,33.0,
0.9179766306759356,38.0,
0.918095238095238,1.0,
0.9181412412106392,27.0,
0.9181975736568456,,1.0
0.9182391433670436,41.0,
0.9182752902155888,4.0,
0.9183361165932896,22.0,
0.9183617747440274,4.0,
0.9183707696915244,38.0,
0.9184313725490196,7.0,2.0
0.9185964912280702,1.0,
0.9187114255607408,31.0,
0.9188059701492536,2.0,
0.92,16.0,
0.9209876543209876,1.0,
0.9210094637223976,10.0,
0.9215153087701092,17.0,
0.9215309489243764,5.0,
0.9216151627523692,9.0,
0.9216442085204846,9.0,
0.921726618705036,2.0,
0.921730449251248,6.0,
0.9217701025364272,7.0,
0.9218276553106212,10.0,
0.9218320610687024,,4.0
0.9219834710743802,9.0,
0.9222222222222224,7.0,
0.9223815591335572,48.0,
0.9225,1.0,
0.9225800354400472,49.0,
0.9225806451612903,2.0,
0.9227454110135676,10.0,
0.9230011947431302,51.0,
0.9231416265518116,,6.0
0.9232258064516129,9.0,
0.9232595816708984,33.0,
0.9232983023443816,17.0,
0.923344262295082,14.0,
0.9234165834165836,31.0,
0.9235231943628892,7.0,
0.9235254237288136,4.0,
0.9235415019762844,9.0,
0.923552952659834,36.0,
0.9235720303285592,8.0,
0.9235955056179774,10.0,
0.9236107660455486,9.0,
0.9237049742710121,1.0,
0.9237383177570092,10.0,
0.9237926363748306,43.0,
0.9241025641025642,2.0,
0.9242105263157894,1.0,
0.9242716787697564,,4.0
0.9244094488188976,7.0,
0.9244444444444444,14.0,
0.9245005740528128,6.0,
0.9245283018867924,2.0,
0.9247801578354002,5.0,
0.9250876733839308,14.0,
0.9251948051948052,5.0,
0.9252058708923236,5.0,
0.9252767718572168,,4.0
0.925318039624609,7.0,
0.9253207645980625,11.0,
0.9253277508831609,14.0,
0.9253333333333332,1.0,
0.9254334621755936,2.0,
0.925499541704858,17.0,
0.9255614973262032,13.0,
0.9256875973015048,6.0,
0.925735849056604,8.0,
0.9257792292619202,10.0,
0.9257971014492754,1.0,
0.9258938244853738,2.0,
0.9259777424483306,2.0,
0.926153846153846,3.0,
0.9263309352517984,1.0,
0.9264367816091954,5.0,
0.9267469879518072,3.0,
0.9267500802053256,,2.0
0.9267591424968472,1.0,
0.9269946725164524,2.0,
0.9270018621973929,1.0,
0.9270072992700732,8.0,
0.9271280563613761,4.0,
0.9271708683473392,3.0,
0.9272727272727276,1.0,
0.927380073800738,7.0,
0.9274226804123712,8.0,
0.92743661971831,2.0,
0.9275838926174498,6.0,
0.9276923076923078,2.0,
0.9277144029544522,2.0,
0.927741935483871,1.0,
0.9277856135401974,1.0,
0.9278527607361964,2.0,
0.9279935012185216,5.0,
0.9280575539568344,,3.0
0.9280898876404496,2.0,
0.928356326369728,2.0,
0.928421052631579,1.0,
0.9284833933573428,2.0,
0.9286628131021196,,2.0
0.9288212927756654,1.0,
0.9288888888888888,1.0,
0.9290566037735848,13.0,
0.9291885714285716,18.0,
0.9294452347083926,12.0,
0.9296928327645052,37.0,
0.9297094017094016,9.0,
