,item_category_list,item_category_list
7908382889764677758;1968056100269760729,186,10
7908382889764677758;2011981573061447208,9563,373
7908382889764677758;22731265849056483,88,2
7908382889764677758;2436715285093487584,1966,72
7908382889764677758;2642175453151805566;6233669177166538628,123,4
7908382889764677758;2642175453151805566;8868887661186419229,1906,75
7908382889764677758;3203673979138763595,2246,223
7908382889764677758;4879721024980945592,1207,55
7908382889764677758;509660095530134768,75420,2932
7908382889764677758;5755694407684602296,102496,4033
7908382889764677758;5799347067982556520,72019,2726
7908382889764677758;7258015885215914736,53055,1464
7908382889764677758;8277336076276184272,150779,6098
7908382889764677758;8710739180200009128,7084,304
