,shop_id,shop_id
1543559655939246,5.0,
6515295840140210,45.0,
9230153951388399,60.0,
10653466129289268,12.0,
12057125006548226,83.0,3.0
13902855225429796,149.0,7.0
17074386468227768,6.0,
17705093901583386,36.0,2.0
18720162083472464,46.0,1.0
20482721174257713,1606.0,97.0
23054388582443103,22.0,1.0
24810792686998304,4.0,
26715097524288480,663.0,36.0
35444926291261877,354.0,14.0
37029084460364755,18.0,1.0
37464236733358835,12.0,
37911650745346584,3.0,
39934323035273919,2.0,
40610581834494773,1.0,
42425159371660486,6.0,
45677417567331780,37.0,1.0
46147535924591121,79.0,7.0
47411552422016778,2.0,
49289748586228828,130.0,3.0
50315264798988801,7.0,
50725926391836288,58.0,1.0
51860955802034994,1.0,
54085639368125671,196.0,3.0
54994463711700209,52.0,2.0
63637422125995966,29.0,2.0
64003104950392766,4.0,
70194089333258446,6.0,
70868581734730997,56.0,2.0
72000285372839536,30.0,
72885977334533908,270.0,11.0
80395690012900671,5.0,
85631722935995449,271.0,15.0
87835326499840480,4.0,
90861367471434581,6.0,
91876841359266652,53.0,3.0
92269408320140735,30.0,3.0
92747985760717492,1.0,
94147677246681545,266.0,16.0
94360926237923000,40.0,2.0
98000314630858524,14.0,1.0
99652409147806996,8.0,1.0
101118881189850130,110.0,
101123793812656776,537.0,23.0
101533175385106566,19.0,1.0
103241140945243725,22.0,
104031991430304660,9.0,
109059776635347951,7.0,1.0
113667924973038510,29.0,5.0
115236083767375889,39.0,2.0
115277172615788710,15.0,
115523237854863523,6.0,1.0
116160454146879691,438.0,13.0
117943314610408321,5.0,
120731925127661509,1.0,
121401443757384393,111.0,4.0
124023455267996679,25.0,3.0
128671055539100882,126.0,14.0
128820354620944539,179.0,7.0
133399385504713111,7.0,
140890099625779626,194.0,6.0
142813026134324203,73.0,3.0
143224228470070973,1.0,
150228940111653652,6.0,
153663898035375865,1.0,
153837710589426459,32.0,
154782945228312432,336.0,5.0
160196130624661011,2.0,
172292670390286787,150.0,3.0
173084685697478503,185.0,17.0
173446595818466136,34.0,1.0
180517674994060018,600.0,62.0
182646377538806199,6.0,
183814606593913701,13.0,1.0
185013505897769527,4.0,1.0
185374726844308312,492.0,47.0
186080162486688852,2.0,
188607251329286890,25.0,4.0
191677746414616671,222.0,10.0
191850466162756696,42.0,
195387032495072084,24.0,
196039857713241649,557.0,17.0
196648111331273414,81.0,4.0
197886595645310686,54.0,1.0
198721260220074568,80.0,8.0
199493317809687243,77.0,5.0
200015456373042813,7.0,
202998820465023856,888.0,34.0
206776659039284584,2.0,1.0
208716925390952691,1.0,
208955845320604062,15.0,
210138790146029900,2.0,
211582173134148533,8.0,1.0
213090253310175056,18.0,
214883517317021303,5.0,
216858511681121454,5.0,
217032666455550939,4.0,2.0
218522008062630697,9.0,
223727811203119046,1.0,3.0
224616227622376764,1.0,
229282760038393926,15.0,
229711241007819328,21.0,1.0
233324302997669630,3.0,
235902204749658964,9.0,
243262382978902763,8.0,
244368155683718473,29.0,2.0
248773783637640509,15.0,3.0
251054078649879597,55.0,6.0
252375590321838660,7.0,
253317545146342513,12.0,
253965066028137041,2.0,
256085690572608023,12.0,
256735687445471139,8.0,
258044591805576566,129.0,3.0
258452673938043728,28.0,1.0
258489200405441729,43.0,1.0
264448104858142683,2.0,
265993255463173855,133.0,8.0
266386954990819620,5.0,
267939960187864312,3.0,
269281171454785516,8.0,
272925568984302049,22.0,
277196093579537206,5.0,
281152804450004918,9.0,
281707574731043370,1.0,
283403651348899906,7.0,1.0
288205018790234015,34.0,1.0
290760514900863974,,1.0
290978936762014487,241.0,8.0
291555077754222073,1.0,
294090495697464362,1.0,
297421886762472103,88.0,5.0
302349687293152337,9.0,
308328450842497133,2.0,1.0
309415250814430612,3.0,1.0
310197748316441235,65.0,4.0
317583919512857842,4.0,
319551127434411946,9.0,
322567786758307532,7.0,
323195289690023120,735.0,41.0
328280611528216022,806.0,36.0
329470548383752413,156.0,5.0
330549462226835253,4.0,
330677725240722660,14.0,
333827844214083472,2.0,
336963659943575001,4.0,1.0
338206581146925705,6.0,
338872183236132559,3.0,
339301187476708100,1.0,
342934338190708160,4.0,
351725354191607807,357.0,3.0
354558446532405768,50.0,6.0
355059363857937274,611.0,22.0
355727186369420236,17.0,
357753450131675920,7.0,
358458158375610314,34.0,4.0
360273121462159098,11.0,2.0
361516263776585449,1.0,
361731370269420242,15.0,
364894515464196916,54.0,2.0
365924170931516044,37.0,
369043235343294647,151.0,3.0
369589041476126927,3.0,
370198111338410612,12.0,
379577271030698215,1.0,
379684183928893701,254.0,7.0
385967316018863175,3.0,
