,shop_review_positive_rate,shop_review_positive_rate
-1.0,7.0,
0.7142857142857143,2.0,
0.8333333333333334,1.0,
0.8630136986301371,23.0,
0.8666666666666667,28.0,
0.8701298701298701,29.0,
0.8705882352941177,,3.0
0.8734177215189873,4.0,
0.8737864077669902,,3.0
0.8743842364532021,11.0,
0.875,21.0,
0.8753387533875339,12.0,
0.8756218905472637,9.0,
0.8783068783068783,21.0,
0.8802083333333334,15.0,
0.8807106598984772,22.0,
0.8813559322033898,13.0,
0.8936170212765957,9.0,
0.8970588235294118,2.0,
0.8972401644157371,3.0,
0.8996960486322189,1.0,
0.8998178506375227,4.0,
0.8998793727382388,1.0,
0.9,9.0,
0.9003021148036254,4.0,
0.9019607843137256,26.0,
0.9047619047619048,1.0,
0.9074074074074074,7.0,
0.9107142857142856,12.0,
0.9108635097493036,2.0,
0.9118457300275482,3.0,
0.9123287671232876,4.0,
0.9130434782608696,5.0,
0.913279132791328,2.0,
0.9137466307277629,,1.0
0.9166666666666666,,1.0
0.918032786885246,10.0,
0.920085242408098,4.0,
0.9214525052598768,14.0,
0.9219365299976836,22.0,
0.9222750268281464,23.0,
0.9225791717417784,25.0,
0.9228322605073837,21.0,
0.9228395061728396,19.0,
0.9232270657124269,2.0,
0.923323397913562,20.0,
0.923474329996771,1.0,
0.9234760051880676,1.0,
0.9237975804071996,,6.0
0.9248059941129247,13.0,
0.9248462155656592,16.0,
0.924866310160428,11.0,
0.9249064671298772,15.0,
0.9249465811965812,20.0,
0.9249666221628838,14.0,
0.925026680896478,16.0,5.0
0.9254751314193288,2.0,
0.9254901960784314,2.0,
0.9255121793837716,7.0,
0.9255628177196804,6.0,
0.9255663430420712,6.0,
0.9255851493139629,5.0,
0.9256134969325154,2.0,
0.9276854051200843,1.0,
0.9278377666578878,4.0,
0.9296875,2.0,
0.929936305732484,2.0,
0.9300518134715026,1.0,
0.9305555555555556,3.0,
0.9311475409836064,1.0,
0.9327149383912502,1.0,
0.9327731092436976,2.0,
0.9337016574585636,9.0,
0.9338061465721039,2.0,
0.9345425867507886,7.0,
0.9346456692913386,2.0,
0.9346793349168646,4.0,
0.9348341232227488,2.0,
0.935054773082942,9.0,
0.9353582554517134,3.0,
0.935483870967742,1.0,
0.9357638888888888,1.0,
0.9358081979891724,7.0,
0.9359655437777724,2.0,
0.9360122283875056,1.0,
0.9360436291522064,2.0,
0.9360474544978232,1.0,
0.9360554699537752,5.0,
0.9363008442056792,,4.0
