,shop_score_description,shop_score_description
-1.0,59.0,1.0
0.7866666666666666,6.0,
0.8,1.0,
0.8057142857142858,2.0,
0.8327272727272728,1.0,
0.8400000000000001,6.0,
0.8466666666666667,1.0,
0.8588561525129983,,1.0
0.8593856655290102,4.0,
0.8596632996632996,3.0,
0.8614925373134328,4.0,
0.8622222222222222,4.0,
0.8667507886435329,10.0,
0.8700000000000001,2.0,
0.8707344632768361,2.0,
0.8720000000000001,3.0,
0.8743502824858758,4.0,
0.8778181818181818,1.0,
0.8793485342019545,1.0,
0.8797402597402597,1.0,
0.8798098256735342,1.0,
0.8800000000000001,1.0,
0.8824161073825503,1.0,
0.8836363636363636,2.0,
0.8886956521739131,2.0,
0.8900000000000001,1.0,
0.8905263157894738,1.0,
0.8912,5.0,
0.8925000000000001,1.0,
0.8941353383458646,,1.0
0.8946341463414635,4.0,
0.8975539568345325,2.0,
0.8979047619047618,1.0,
0.8982505910165484,1.0,
0.8998058252427183,2.0,2.0
0.9000514138817481,1.0,
0.9003617571059432,,3.0
0.901010101010101,1.0,
0.9014492753623188,1.0,
0.9021582733812951,1.0,
0.9027057468322028,6.0,
0.90279190451479,17.0,
0.9030328626105321,5.0,
0.9031332516673474,9.0,
0.90320987654321,1.0,
0.9033319598956188,9.0,
0.9033998920669186,7.0,
0.903451131154813,38.0,
0.9034892435808466,,4.0
0.9035083500334,10.0,
0.904085637823372,41.0,
0.9041093337474764,,8.0
0.904313725490196,1.0,
0.9043592814371256,38.0,
0.9044444444444444,7.0,
0.9044831304883684,33.0,
0.9045378151260506,27.0,
0.9046260346124906,31.0,
0.904679817905918,22.0,
0.9047804878048782,2.0,
0.9050980392156864,1.0,
0.9054545454545456,9.0,
0.9057142857142856,3.0,
0.9058064516129032,9.0,
0.9060317460317462,,1.0
0.9064935064935064,5.0,
0.9066666666666668,1.0,
0.9074015748031496,7.0,
0.9076923076923078,1.0,
0.908148148148148,1.0,
0.9085714285714286,4.0,
0.9087407407407408,1.0,
0.908923076923077,1.0,
0.9094610778443112,,3.0
0.9098850574712644,5.0,
0.9100319488817892,2.0,
0.9101477832512316,12.0,
0.9104587155963304,2.0,
0.9105523993714492,33.0,
0.9106415094339624,8.0,
0.910651997683845,48.0,
0.910692785475394,51.0,
0.9108444549427188,49.0,
0.910851581508516,11.0,
0.9109636496706516,36.0,
0.9111111111111112,4.0,
0.911165146909828,,6.0
0.9112183353437876,13.0,
0.9112509363295882,31.0,
0.9112643112150682,43.0,
0.9115414012738854,,2.0
0.9118248175182482,8.0,
0.9118401682439536,2.0,
0.9119905771495878,7.0,
0.9120295202952028,7.0,
0.9121804511278196,1.0,
0.9124,23.0,
0.9124686192468618,1.0,
0.9125179856115108,,3.0
0.9125894736842104,,1.0
0.9130964467005076,4.0,
0.9133333333333332,4.0,
0.9134246575342466,1.0,
0.913469387755102,5.0,
0.9136,7.0,
0.9138461538461541,1.0,
0.9139495798319328,1.0,
0.9141463414634148,22.0,
0.9142268041237114,8.0,
0.9145205479452054,6.0,
0.9145864661654136,1.0,
0.9145977686435702,7.0,
0.9151677852348994,6.0,
0.9152941176470588,1.0,
0.9155912743972444,6.0,
