,shop_score_service,shop_score_service
-1.0,59.0,1.0
0.7866666666666666,3.0,
0.8400000000000001,1.0,
0.8500000000000001,1.0,
0.8618181818181818,2.0,
0.862857142857143,2.0,
0.8678260869565217,3.0,
0.8720000000000001,8.0,
0.8736363636363635,2.0,
0.8743502824858758,2.0,
0.8770621468926554,4.0,
0.8784000000000001,1.0,
0.8849122807017544,1.0,
0.8925000000000001,1.0,
0.8933333333333333,11.0,
0.8939413680781758,1.0,
0.8940095087163233,1.0,
0.8940259740259742,1.0,
0.8961073825503356,1.0,
0.8997979797979798,3.0,
0.9003412969283278,4.0,
0.9007279029462738,,1.0
0.901028192371476,4.0,
0.9016993464052288,4.0,
0.904,1.0,
0.9043026004728132,1.0,
0.9043533123028392,10.0,
0.9057272609316208,17.0,
0.9057450076804916,6.0,
0.9058624785535174,5.0,
0.9058823529411766,2.0,
0.9059861167823602,9.0,
0.9062709120345388,7.0,
0.9062872411489646,10.0,
0.9063425353660212,9.0,
0.9064892043774032,38.0,
0.9066204024982653,,4.0
0.90702156133829,41.0,
0.9070414660661594,,8.0
0.9075071118430902,38.0,
0.9076136188568787,33.0,
0.9076424751718871,27.0,
0.9077632776934751,22.0,
0.9077664057796508,31.0,
0.9085714285714286,3.0,
0.9104,1.0,
0.9104761904761904,1.0,
0.9108825573314804,48.0,
0.9111111111111112,1.0,
0.9112686038270732,49.0,
0.9113669064748202,2.0,
0.9114657746983634,51.0,
0.9116634429400388,33.0,
0.9119554204660588,,6.0
0.9120458704404052,36.0,
0.9122786864777126,31.0,
0.9123514211886306,,3.0
0.9123907455012854,1.0,
0.9124528301886792,3.0,
0.912474759911352,43.0,
0.913131313131313,1.0,
0.9138461538461541,1.0,
0.914503816793893,7.0,
0.9153623188405796,1.0,
0.9155912743972444,6.0,
0.9156363636363636,1.0,
0.9157894736842104,1.0,
0.915902602854744,4.0,
0.9159413754227734,5.0,
0.9159712230215826,1.0,
0.9161073825503356,4.0,
0.9164140179299104,2.0,
0.9169519602429596,2.0,
0.9170515970515972,4.0,
0.9171658615136876,2.0,
0.9172264355362948,2.0,
0.9173553719008264,5.0,
0.9175757575757576,1.0,
0.9177070063694268,,1.0
0.917716658017644,6.0,
0.9177287066246056,2.0,
0.917753047164812,2.0,
0.918048780487805,4.0,
0.9181954887218045,,1.0
0.9182222222222224,1.0,
0.9184842105263158,,1.0
0.9184937238493724,1.0,
0.9186270022883296,13.0,
0.9187220447284346,2.0,
0.9188059701492536,2.0,
0.9188107489994284,18.0,
0.9190663250782808,12.0,
0.9192011412268188,10.0,
0.9192160907684376,,1.0
0.9192660550458716,2.0,
0.9193158494868872,9.0,
0.9193177942012508,26.0,
0.9194080819578828,37.0,
0.9196343321482988,2.0,
0.919754601226994,8.0,
0.919908935685828,,5.0
0.92,11.0,
0.9204328578455484,9.0,
0.920603318250377,12.0,
0.9209876543209876,1.0,
